學年度	學校代碼	學校名稱	日間∕進修別	等級別	總計	男生計	女生計	一年級男	一年級女	二年級男	二年級女	三年級男	三年級女	四年級男	四年級女	五年級男	五年級女	六年級男	六年級女	七年級男	七年級女	延修生男	延修生女	縣市名稱	體系別
111	1	國立政治大學	D 日	D 博士	922	530	392	78	63	88	67	81	66	72	61	70	50	66	45	75	40	0	0	30 臺北市	1 一般
111	1	國立政治大學	D 日	M 碩士	4203	1907	2296	663	823	611	733	352	441	279	297	2	2	0	0	0	0	0	0	30 臺北市	1 一般
111	1	國立政治大學	N 職	M 碩士	1870	921	949	278	292	278	319	193	179	103	97	68	61	1	1	0	0	0	0	30 臺北市	1 一般
111	1	國立政治大學	D 日	B 學士	9732	3976	5756	875	1388	927	1351	923	1273	915	1314	0	0	0	0	0	0	336	430	30 臺北市	1 一般
111	2	國立清華大學	D 日	D 博士	1669	1169	500	227	97	215	102	178	72	185	67	139	67	94	41	131	54	0	0	18 新竹市	1 一般
111	2	國立清華大學	D 日	M 碩士	5859	3551	2308	1430	848	1332	832	552	350	230	252	4	19	3	6	0	1	0	0	18 新竹市	1 一般
111	2	國立清華大學	N 職	M 碩士	1387	511	876	184	286	201	247	57	134	31	109	26	54	1	12	11	34	0	0	18 新竹市	1 一般
111	2	國立清華大學	D 日	B 學士	9118	4957	4161	1248	1072	1249	968	1123	1001	1062	924	0	0	0	0	0	0	275	196	18 新竹市	1 一般
111	2	國立清華大學	D 日	X 4+X	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18 新竹市	1 一般
111	3	國立臺灣大學	D 日	D 博士	3629	2444	1185	437	222	466	237	418	196	367	153	237	134	213	117	306	126	0	0	30 臺北市	1 一般
111	3	國立臺灣大學	D 日	M 碩士	11096	6651	4445	2650	1751	2528	1608	955	615	518	471	0	0	0	0	0	0	0	0	30 臺北市	1 一般
111	3	國立臺灣大學	N 職	M 碩士	1623	1003	620	316	222	344	221	183	98	59	41	49	24	52	14	0	0	0	0	30 臺北市	1 一般
111	3	國立臺灣大學	D 日	B 學士	17074	9514	7560	2155	1734	2224	1729	2023	1689	2035	1617	202	128	170	94	0	0	705	569	30 臺北市	1 一般
111	4	國立臺灣師範大學	D 日	D 博士	1326	632	694	111	117	113	107	82	125	90	101	72	83	96	94	68	67	0	0	30 臺北市	3 師範
111	4	國立臺灣師範大學	D 日	M 碩士	4360	1903	2457	675	817	621	820	367	489	240	331	0	0	0	0	0	0	0	0	30 臺北市	3 師範
111	4	國立臺灣師範大學	N 職	M 碩士	2182	650	1532	232	511	166	442	105	290	85	147	38	91	24	51	0	0	0	0	30 臺北市	3 師範
111	4	國立臺灣師範大學	D 日	B 學士	8394	3810	4584	921	1088	931	1091	841	1079	817	1019	0	0	0	0	0	0	300	307	30 臺北市	3 師範
111	5	國立成功大學	D 日	D 博士	1857	1231	626	233	116	220	124	218	110	206	102	148	65	104	58	102	51	0	0	21 臺南市	1 一般
111	5	國立成功大學	D 日	M 碩士	7425	4776	2649	2046	1114	2023	1071	494	301	203	148	10	13	0	2	0	0	0	0	21 臺南市	1 一般
111	5	國立成功大學	N 職	M 碩士	1533	932	601	297	219	279	200	183	105	107	50	62	27	3	0	1	0	0	0	21 臺南市	1 一般
111	5	國立成功大學	D 日	B 學士	12010	7406	4604	1790	1113	1833	1100	1613	1057	1632	1008	91	65	59	42	0	0	388	219	21 臺南市	1 一般
111	6	國立中興大學	D 日	D 博士	969	655	314	89	58	113	70	103	40	100	43	88	40	70	27	92	36	0	0	19 臺中市	1 一般
111	6	國立中興大學	D 日	M 碩士	3668	2170	1498	943	632	877	611	253	173	94	77	3	5	0	0	0	0	0	0	19 臺中市	1 一般
111	6	國立中興大學	N 職	M 碩士	1733	1114	619	381	243	373	200	161	93	110	49	89	34	0	0	0	0	0	0	19 臺中市	1 一般
111	6	國立中興大學	D 日	B 學士	8201	4643	3558	1108	877	1131	829	1106	844	1078	862	30	45	0	0	0	0	190	101	19 臺中市	1 一般
111	6	國立中興大學	P 進	B 學士	892	399	493	92	135	91	112	88	109	87	90	34	37	0	0	0	0	7	10	19 臺中市	1 一般
111	7	國立陽明交通大學	D 日	D 博士	2613	1790	823	309	154	324	155	265	144	270	132	235	87	170	70	217	81	0	0	18 新竹市	1 一般
111	7	國立陽明交通大學	D 日	M 碩士	7617	4791	2826	1804	1169	1785	1048	924	428	276	173	1	7	1	1	0	0	0	0	18 新竹市	1 一般
111	7	國立陽明交通大學	N 職	M 碩士	1872	1173	699	377	257	360	229	187	108	139	68	110	37	0	0	0	0	0	0	18 新竹市	1 一般
111	7	國立陽明交通大學	D 日	B 學士	8605	5489	3116	1197	709	1286	686	1228	698	1233	743	165	96	147	97	6	2	227	85	18 新竹市	1 一般
111	8	國立中央大學	D 日	D 博士	1025	713	312	131	68	125	52	115	45	100	43	86	33	74	39	82	32	0	0	03 桃園市	1 一般
111	8	國立中央大學	D 日	M 碩士	3650	2439	1211	1052	533	1028	477	256	121	90	71	13	9	0	0	0	0	0	0	03 桃園市	1 一般
111	8	國立中央大學	N 職	M 碩士	1465	923	542	347	227	318	215	137	56	68	27	46	12	7	5	0	0	0	0	03 桃園市	1 一般
111	8	國立中央大學	D 日	B 學士	6154	3823	2331	975	583	981	567	890	596	851	509	0	0	0	0	0	0	126	76	03 桃園市	1 一般
